objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"13 Days: The Cuban Missile Crisis","177590","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198542","6.79273","7.35087","2.3592","590","6119","thing","13 Days: The Cuban Missile Crisis","2","2","45","45","30","2016","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"1775: Rebellion","128996","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198253","7.03004","7.68977","2.2458","352","5013","thing","1775: Rebellion","2","4","120","120","60","2013","2,3,4","2,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"1830: Railways & Robber Barons","421","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198048","7.28864","7.88518","4.1593","185","6761","thing","1830: Railways & Robber Barons","2","7","360","360","180","1986","3,4,5,6","4,5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"1846: The Race for the Midwest","17405","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198379","6.92234","7.96107","4.0172","459","3127","thing","1846: The Race for the Midwest","3","5","240","240","240","2005","3,4,5","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"1960: The Making of the President","27708","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198063","7.26009","7.59992","3.2036","197","9733","thing","1960: The Making of the President","2","2","120","120","90","2007","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"1989: Dawn of Freedom","26997","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198522","6.79873","7.78823","3.3121","574","3474","thing","1989: Dawn of Freedom","2","2","150","150","150","2012","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"51st State: Master Set","192458","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198179","7.10666","7.66624","2.9527","289","7141","thing","51st State: Master Set","1","4","90","90","60","2016","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"6 nimmt!","432","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198553","6.78325","6.91172","1.2135","598","26269","thing","6 nimmt!","2","10","45","45","45","1994","4,5,6,7,8,9,10","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders","68448","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197871","7.66095","7.7599","2.3316","51","106531","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel","173346","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197830","7.97532","8.10286","2.2165","16","83861","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
